                                  Precision  Recall  F1-Score

Criterion = entropy | n_estimators = 1 | Max features = None | Max depth = None |  0.68 |  0.7 |  0.67


Criterion = entropy | n_estimators = 2 | Max features = None | Max depth = None |  0.69 |  0.72 |  0.65


Criterion = entropy | n_estimators = 5 | Max features = None | Max depth = None |  0.7 |  0.72 |  0.68


Criterion = entropy | n_estimators = 8 | Max features = None | Max depth = None |  0.7 |  0.73 |  0.67


Criterion = entropy | n_estimators = 10 | Max features = None | Max depth = None |  0.72 |  0.73 |  0.66


Criterion = entropy | n_estimators = 20 | Max features = None | Max depth = None |  0.72 |  0.73 |  0.67


Criterion = entropy | n_estimators = 30 | Max features = None | Max depth = None |  0.73 |  0.73 |  0.67


Criterion = entropy | n_estimators = 50 | Max features = None | Max depth = None |  0.72 |  0.74 |  0.67


Criterion = entropy | n_estimators = 80 | Max features = None | Max depth = None |  0.72 |  0.74 |  0.67


Criterion = entropy | n_estimators = 100 | Max features = None | Max depth = None |  0.73 |  0.73 |  0.67


0.68
